brand2,raw_model,model2,candidate_powertrain,review_status,evidence,reviewer,reviewed_at,notes
BYD,BYD SEALION 7 AWD,BYD SEALION 7,BEV,approved,PaulTan: BYD Sealion 7 launch https://paultan.org/2024/11/14/byd-sealion-7-ev-suv-launched-in-malaysia-two-variants-up-to-530-ps-rm183800-to-rm199800/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD SEALION 7 RWD,BYD SEALION 7,BEV,approved,PaulTan: BYD Sealion 7 launch https://paultan.org/2024/11/14/byd-sealion-7-ev-suv-launched-in-malaysia-two-variants-up-to-530-ps-rm183800-to-rm199800/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,DOLPHIN (490KM),BYD DOLPHIN,BEV,approved,Official BYD EU: BYD Dolphin https://www.byd.com/eu/electric-cars/dolphin.html,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,DOLPHIN FREEDOM,BYD DOLPHIN,BEV,approved,Official BYD EU: BYD Dolphin https://www.byd.com/eu/electric-cars/dolphin.html,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,SEAL AWD PERFORMANCE,BYD SEAL,BEV,approved,ReverAutomotive: BYD Seal spec https://www.reverautomotive.com/en/model/seal/tech-spec,claude-code,7/22/2026,seeded high-confidence BEV approval
DEEPAL + CHANGAN,S05 MAX,S05 BEV,BEV,approved,Changan Thailand: DEEPAL S05 announcement https://www.changan.co.th/en/news/CHANGAN-unveils-DEEPAL-S05/,claude-code,7/22/2026,seeded high-confidence BEV approval
DEEPAL + CHANGAN,S05 MAX LONG RANGE,S05 BEV,BEV,approved,Changan Thailand: DEEPAL S05 announcement https://www.changan.co.th/en/news/CHANGAN-unveils-DEEPAL-S05/,claude-code,7/22/2026,seeded high-confidence BEV approval
DEEPAL + CHANGAN,S05 PLUS,S05 BEV,BEV,approved,Changan Thailand: DEEPAL S05 announcement https://www.changan.co.th/en/news/CHANGAN-unveils-DEEPAL-S05/,claude-code,7/22/2026,seeded high-confidence BEV approval
HYUNDAI,IONIQ5 N,IONIQ5,BEV,approved,HeadlightMag: Hyundai IONIQ 5 launch https://www.headlightmag.com/2023-11-29-official-price-hyundai-ioniq-5-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
HYUNDAI,IONIQ5 N LINE,IONIQ5,BEV,approved,HeadlightMag: Hyundai IONIQ 5 launch https://www.headlightmag.com/2023-11-29-official-price-hyundai-ioniq-5-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
JAECOO,5 EV LONG RANGE DYNAMIC,5 EV,BEV,approved,Autoinfo: Jaecoo 5 EV Thailand launch https://www.autoinfo.co.th/jaecoo-5-ev-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
JAECOO,5 EV LONG RANGE MAX,5 EV,BEV,approved,Autoinfo: Jaecoo 5 EV Thailand launch https://www.autoinfo.co.th/jaecoo-5-ev-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
JAECOO,6 EV LONG RANGE 2WD,6 EV,BEV,approved,Springnews: Jaecoo J6 EV Thailand launch https://www.springnews.co.th/digital-tech/auto/838226,claude-code,7/22/2026,seeded high-confidence BEV approval
JAECOO,6 EV LONG RANGE 2WD PRO,6 EV,BEV,approved,Springnews: Jaecoo J6 EV Thailand launch https://www.springnews.co.th/digital-tech/auto/838226,claude-code,7/22/2026,seeded high-confidence BEV approval
JAECOO,6 EV LONG RANGE 4WD,6 EV,BEV,approved,Springnews: Jaecoo J6 EV Thailand launch https://www.springnews.co.th/digital-tech/auto/838226,claude-code,7/22/2026,seeded high-confidence BEV approval
JAECOO,6T EV LONG RANGE 4WD,6 EV,BEV,approved,Springnews: Jaecoo J6 EV Thailand launch https://www.springnews.co.th/digital-tech/auto/838226,claude-code,7/22/2026,seeded high-confidence BEV approval
JAECOO,JAECOO 6 EV,6 EV,BEV,approved,Springnews: Jaecoo J6 EV Thailand launch https://www.springnews.co.th/digital-tech/auto/838226,claude-code,7/22/2026,seeded high-confidence BEV approval
KIA,EV9 EARTH LONG RANGE,EV9,BEV,approved,Official Kia: EV9 spec https://www.kia.com/th/en/cars/ev9/specification.html,claude-code,7/22/2026,seeded high-confidence BEV approval
KIA,EV9 GT LINE AWD,EV9,BEV,approved,Official Kia: EV9 spec https://www.kia.com/th/en/cars/ev9/specification.html,claude-code,7/22/2026,seeded high-confidence BEV approval
KIA,EV9 GT-LINE,EV9,BEV,approved,Official Kia: EV9 spec https://www.kia.com/th/en/cars/ev9/specification.html,claude-code,7/22/2026,seeded high-confidence BEV approval
LEAPMOTOR,B10 DESIGN BEV,B10,BEV,approved,PaulTan: Leapmotor B10 launch https://paultan.org/2026/07/29/leapmotor-brand-enters-indonesia-with-b10-c10-evs-same-spec-as-my-ckd-and-distributed-by-indomobil/,claude-code,7/22/2026,seeded high-confidence BEV approval
LEAPMOTOR,B10 LIFE BEV,B10,BEV,approved,PaulTan: Leapmotor B10 launch https://paultan.org/2026/07/29/leapmotor-brand-enters-indonesia-with-b10-c10-evs-same-spec-as-my-ckd-and-distributed-by-indomobil/,claude-code,7/22/2026,seeded high-confidence BEV approval
LEAPMOTOR,B10 STYLE BEV,B10,BEV,approved,PaulTan: Leapmotor B10 launch https://paultan.org/2026/07/29/leapmotor-brand-enters-indonesia-with-b10-c10-evs-same-spec-as-my-ckd-and-distributed-by-indomobil/,claude-code,7/22/2026,seeded high-confidence BEV approval
LEAPMOTOR,C10 EV,C10,BEV,approved,PaulTan: Leapmotor C10 launch https://paultan.org/2026/02/23/2026-leapmotor-c10-ev-update-for-malaysia-coming-soon-suv-to-get-more-power-and-range-to-go-ckd/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQB 250,EQB,BEV,approved,Autoinfo: Mercedes-Benz EQB Thailand price https://www.autoinfo.co.th/mercedes-benz-eqb-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQB 250+,EQB,BEV,approved,Autoinfo: Mercedes-Benz EQB Thailand price https://www.autoinfo.co.th/mercedes-benz-eqb-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQE 300,EQE,BEV,approved,Autoinfo: Mercedes-Benz EQE Thailand price https://www.autoinfo.co.th/mercedes-benz-eqe-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQE 300 PREMIUM PLUS,EQE,BEV,approved,Autoinfo: Mercedes-Benz EQE Thailand price https://www.autoinfo.co.th/mercedes-benz-eqe-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQE 350 4MATIC SUV,EQE,BEV,approved,Autoinfo: Mercedes-Benz EQE Thailand price https://www.autoinfo.co.th/mercedes-benz-eqe-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQE 350+,EQE,BEV,approved,Autoinfo: Mercedes-Benz EQE Thailand price https://www.autoinfo.co.th/mercedes-benz-eqe-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQS 450,EQS,BEV,approved,Autoinfo: Mercedes-Benz EQS Thailand price https://www.autoinfo.co.th/mercedes-benz-eqs-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQS 450 4MATIC SUV,EQS,BEV,approved,Autoinfo: Mercedes-Benz EQS Thailand price https://www.autoinfo.co.th/mercedes-benz-eqs-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQS 450 PLUS,EQS,BEV,approved,Autoinfo: Mercedes-Benz EQS Thailand price https://www.autoinfo.co.th/mercedes-benz-eqs-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQS 450+,EQS,BEV,approved,Autoinfo: Mercedes-Benz EQS Thailand price https://www.autoinfo.co.th/mercedes-benz-eqs-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQS 500 4MATIC,EQS,BEV,approved,Autoinfo: Mercedes-Benz EQS Thailand price https://www.autoinfo.co.th/mercedes-benz-eqs-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MERCEDES-BENZ,EQS 500 4MATIC SUV,EQS,BEV,approved,Autoinfo: Mercedes-Benz EQS Thailand price https://www.autoinfo.co.th/mercedes-benz-eqs-thailand-price/,claude-code,7/22/2026,seeded high-confidence BEV approval
MINI,ACEMAN SE RHD,Aceman SE,BEV,approved,HeadlightMag: MINI Aceman SE launch https://www.headlightmag.com/2024-08-20-official-price-mini-aceman-se/,claude-code,7/22/2026,seeded high-confidence BEV approval
MINI,COOPER ELECTRIC,Cooper SE,BEV,approved,Autoinfo: All-New MINI Cooper Electric SE launched in Thailand https://www.autoinfo.co.th/mini-cooper-se-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
MINI,COOPER ELECTRIC LEVEL 3,Cooper SE,BEV,approved,Autoinfo: All-New MINI Cooper Electric SE launched in Thailand https://www.autoinfo.co.th/mini-cooper-se-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
MINI,COOPER SE HATCH RHD,Cooper SE,BEV,approved,Autoinfo: All-New MINI Cooper Electric SE launched in Thailand https://www.autoinfo.co.th/mini-cooper-se-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
MINI,COOPER SE RHD,Cooper SE,BEV,approved,Autoinfo: All-New MINI Cooper Electric SE launched in Thailand https://www.autoinfo.co.th/mini-cooper-se-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
OMODA,C5 EV LONG RANGE DYNAMIC,C5 EV,BEV,approved,"AutolifeThailand (publication): Omoda C5 EV Dynamic official price, 100% electric https://autolifethailand.tv/official-price-omoda-c5-ev-bev-jan-2026/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
OMODA,C5 EV LONG RANGE MAX,C5 EV,BEV,approved,"AutolifeThailand (publication): Omoda C5 EV Dynamic/Max official price, 100% electric https://autolifethailand.tv/official-price-omoda-c5-ev-bev-jan-2026/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
OMODA,C5 EV LONG RANGE PLUS,C5 EV,BEV,approved,"paultan.org (publication): Chery Omoda C5 EV Thailand launch report, Long Range Plus/Ultimate variants https://paultan.org/2024/08/07/chery-omoda-e5-launched-in-thailand-c5-ev-suv-is-priced-from-rm113k-61-kwh-lfp-430-km-wltp-range/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
OMODA,C5 EV LONG RANGE ULTIMATE,C5 EV,BEV,approved,"paultan.org (publication): Chery Omoda C5 EV Thailand launch report, Long Range Plus/Ultimate variants https://paultan.org/2024/08/07/chery-omoda-e5-launched-in-thailand-c5-ev-suv-is-priced-from-rm113k-61-kwh-lfp-430-km-wltp-range/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
OMODA,OMODA C5 EV,C5 EV,BEV,approved,paultan.org (publication): Chery Omoda C5 EV Thailand launch report https://paultan.org/2024/08/07/chery-omoda-e5-launched-in-thailand-c5-ev-suv-is-priced-from-rm113k-61-kwh-lfp-430-km-wltp-range/,Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 LONG RANGE,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2021 Tesla Model 3 Long Range AWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=43401",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 LONG RANGE PLUS,MODEL 3,ambiguous,ambiguous,Exact registration trim could not be matched to a documented manufacturer trim.,Claude-research-review,7/30/2026,Legacy Evidence Batch 2: trim identity unresolved; excluded until verified.
TESLA,MODEL 3 LONG RANGE RWD,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2025 Tesla Model 3 Long Range RWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=48765",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 PERFORMANCE,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2023 Tesla Model 3 Performance AWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46205",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 REAR WHEEL DRIVE,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2023 Tesla Model 3 RWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46206",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 REAR-WHEEL DRIVE,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2023 Tesla Model 3 RWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46206",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 RWD,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2023 Tesla Model 3 RWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46206",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 STANDARD,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2026 Tesla Model 3 Standard RWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=50251",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 STANDARD PLUS,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2019 Tesla Model 3 Standard Range Plus https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=41416",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 STANDARD PLUS RWD,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2021 Tesla Model 3 Standard Range Plus RWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=43821",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 STANDARD RANGE,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2019 Tesla Model 3 Standard Range https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=41415",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL 3 STANDARD RANGE PLUS,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2019 Tesla Model 3 Standard Range Plus https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=41416",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL S LONG RANGE,MODEL S,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2019 Tesla Model S Long Range https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=41417",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL S PERFORMANCE,MODEL S,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2020 Tesla Model S Performance (19in Wheels) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=42283",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL X 100D,MODEL X,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2018 Tesla Model X 100D https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=39842",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL X LONG RANGE,MODEL X,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2019 Tesla Model X Long Range https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=41514",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL X LONG RANGE PLUS,MODEL X,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2021 Tesla Model X Long Range Plus https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=43403",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL X PERFORMANCE,MODEL X,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2020 Tesla Model X Performance (20in Wheels) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=42287",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y L,MODEL Y,BEV,approved,"CarNewsChina (publication): Tesla Model Y L six-seater China launch, quoting official Tesla China announcement https://carnewschina.com/2025/08/19/tesla-officially-launched-its-six-seater-model-y-l-in-china-priced-at-47120-usd/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y LONG RANGE,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2023 Tesla Model Y Long Range AWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46212",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y LONG RANGE DUAL MOTOR,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2023 Tesla Model Y Long Range AWD (dual motor) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46212",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y LONG RANGE RWD,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2026 Tesla Model Y Long Range RWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=49743",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y PERFORMANCE,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2023 Tesla Model Y Performance AWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46213",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y REAR WHEEL DRIVE,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2022 Tesla Model Y RWD (All-Electric) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=45017",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y REAR-WHEEL DRIVE,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2022 Tesla Model Y RWD (All-Electric) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=45017",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y RWD,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2022 Tesla Model Y RWD (All-Electric) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=45017",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y STANDARD,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2026 Tesla Model Y Standard RWD (18in Wheels) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=50040",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL Y STANDARD RANGE,MODEL Y,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2021 Tesla Model Y Standard Range RWD https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=43880",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL3 LONG RANGE PER,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2020 Tesla Model 3 Long Range Performance AWD (19in) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=42280",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
TESLA,MODEL3 LONG RANGE PERFORMANCE,MODEL 3,BEV,approved,"fueleconomy.gov (US DOE/EPA, official government): 2020 Tesla Model 3 Long Range Performance AWD (19in) https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=42280",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
VOLVO,EX30 ULTRA SINGLE MOTOR,EX30,BEV,approved,"9CarThai (publication): Volvo EX30 Ultra Single Motor Extended Range official price, 69 kWh battery, 200 kW motor https://www.9carthai.com/new-volvo-ex30-price/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
WULING,AIR EV LR,Air EV,BEV,approved,"Wuling Thailand / EV Primus (official): Air EV model page, Long Range 300 km variant https://www.wulingthai.com/model/air-ev",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
WULING,AIR EV SR,Air EV,BEV,approved,"Wuling Thailand / EV Primus (official): Air EV model page, Standard Range 200 km variant https://www.wulingthai.com/model/air-ev",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,G6 AWD PERFORMANCE,G6,BEV,approved,"XPeng (official): G6 specification page, AWD Performance variant https://www.xpeng.com/ae/g6specs.html",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,G6 LONG RANGE,G6,BEV,approved,"XPeng (official): G6 specification page, RWD Long Range variant https://www.xpeng.com/ae/g6specs.html",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,G6 RWD LONG RANGE,G6,BEV,approved,"XPeng (official): G6 specification page, RWD Long Range variant https://www.xpeng.com/ae/g6specs.html",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,G6 RWD STANDARD RANGE,G6,BEV,approved,"XPeng (official): G6 specification page, RWD Standard Range variant https://www.xpeng.com/ae/g6specs.html",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,G6 STANDARD RANGE,G6,BEV,approved,"XPeng (official): G6 specification page, RWD Standard Range variant https://www.xpeng.com/ae/g6specs.html",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,X9 AWD LONG RANGE,X9,ambiguous,ambiguous,Exact registration trim could not be matched to a documented manufacturer trim.,Claude-research-review,7/30/2026,Legacy Evidence Batch 2: trim identity unresolved; excluded until verified.
XPENG,X9 FWD LONG RANGE,X9,BEV,approved,"paultan.org (publication): XPeng X9 model research page, 2WD Long Range variant https://paultan.org/research/xpeng/x9/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,X9 FWD STANDARD RANGE,X9,BEV,approved,"paultan.org (publication): XPeng X9 model research page, 2WD Standard Range variant https://paultan.org/research/xpeng/x9/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,X9 LONG RANGE,X9,BEV,approved,"paultan.org (publication): XPeng X9 model research page, 2WD Long Range variant https://paultan.org/research/xpeng/x9/",Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
XPENG,X9 LONG RANGE(EXECUTIVE),X9,BEV,approved,Headlightmag (publication): XPeng X9 Executive/Luxury official price Thailand https://www.headlightmag.com/official-price-xpeng-x9-excutive-luxury-2025/,Claude-research-review,7/30/2026,Legacy Evidence Batch 2: model-specific source verified.
